date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:24:41	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-4ed4785e9de00%22	https://directorist.com/theme/demo/direo/wp-includes/wlwmanifest.xml	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-includes/wlwmanifest.xml	(from https://directorist.com/theme/demo/direo/)
18:24:41	534495/534495	---MC-	200	added ('OK')	application/json	date:Fri,%2001%20Nov%202019%2017:24:38%20GMT	https://directorist.com/theme/demo/direo/wp-json/	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-json/index.html	(from https://directorist.com/theme/demo/direo/)
18:24:42	2425/2425	---MC-	200	added ('OK')	application/json	date:Fri,%2001%20Nov%202019%2017:24:39%20GMT	https://directorist.com/theme/demo/direo/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdirectorist.com%2Ftheme%2Fdemo%2Fdireo%2F	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-json/oembed/1.0/embed3435.json	(from https://directorist.com/theme/demo/direo/)
18:24:42	2547/2547	---MC-	200	added ('OK')	text/xml	date:Fri,%2001%20Nov%202019%2017:24:39%20GMT	https://directorist.com/theme/demo/direo/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdirectorist.com%2Ftheme%2Fdemo%2Fdireo%2F&format=xml	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-json/oembed/1.0/embed3523	(from https://directorist.com/theme/demo/direo/)
18:24:42	2192/2192	---M--	200	added ('OK')	image/png	etag:%22890-594f0f5f6f5cd%22	https://directorist.com/theme/demo/direo/wp-content/uploads/2019/10/fevicon.png	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/uploads/2019/10/fevicon.png	(from https://directorist.com/theme/demo/direo/)
18:24:43	465693/465693	---M--	200	added ('OK')	image/jpeg	etag:%2271b1d-594f0f66a1297%22	https://directorist.com/theme/demo/direo/wp-content/uploads/2019/10/intro.jpg	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/uploads/2019/10/intro.jpg	(from https://directorist.com/theme/demo/direo/)
18:24:43	4230/4230	---M--	200	added ('OK')	image/png	etag:%221086-594f0f6852831%22	https://directorist.com/theme/demo/direo/wp-content/uploads/2019/10/logo-white.png	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/uploads/2019/10/logo-white.png	(from https://directorist.com/theme/demo/direo/)
18:24:43	103594/103594	---M--	200	added ('OK')	image/jpeg	etag:%22194aa-594f0f8d37d64%22	https://directorist.com/theme/demo/direo/wp-content/uploads/2019/10/11.jpg	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/uploads/2019/10/11.jpg	(from https://directorist.com/theme/demo/direo/)
18:24:43	57857/57857	---M--	200	added ('OK')	image/jpeg	etag:%22e201-594f0f8747d0c%22	https://directorist.com/theme/demo/direo/wp-content/uploads/2019/10/7.jpg	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/uploads/2019/10/7.jpg	(from https://directorist.com/theme/demo/direo/)
18:24:43	55172/55172	---M--	200	added ('OK')	image/jpeg	etag:%22d784-594f0f8edfaa7%22	https://directorist.com/theme/demo/direo/wp-content/uploads/2019/10/12.jpg	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/uploads/2019/10/12.jpg	(from https://directorist.com/theme/demo/direo/)
18:24:44	69127/69127	---M--	200	added ('OK')	image/jpeg	etag:%2210e07-594f0f8a560b0%22	https://directorist.com/theme/demo/direo/wp-content/uploads/2019/10/9.jpg	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/uploads/2019/10/9.jpg	(from https://directorist.com/theme/demo/direo/)
18:24:44	59186/59186	---M--	200	added ('OK')	image/jpeg	etag:%22e732-594f0f819418c%22	https://directorist.com/theme/demo/direo/wp-content/uploads/2019/10/2.jpg	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/uploads/2019/10/2.jpg	(from https://directorist.com/theme/demo/direo/)
18:24:44	67688/67688	---M--	200	added ('OK')	image/jpeg	etag:%2210868-594f2a5d97ebb%22	https://directorist.com/theme/demo/direo/wp-content/uploads/2019/10/p1-350x260.jpg	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/uploads/2019/10/p1-350x260.jpg	(from https://directorist.com/theme/demo/direo/)
18:24:44	70523/70523	---M--	200	added ('OK')	image/jpeg	etag:%221137b-594f2fc3420cc%22	https://directorist.com/theme/demo/direo/wp-content/uploads/2019/10/p4-350x260.jpg	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/uploads/2019/10/p4-350x260.jpg	(from https://directorist.com/theme/demo/direo/)
18:24:44	69312/69312	---M--	200	added ('OK')	image/jpeg	etag:%2210ec0-594f2fc3476bc%22	https://directorist.com/theme/demo/direo/wp-content/uploads/2019/10/p3-350x260.jpg	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/uploads/2019/10/p3-350x260.jpg	(from https://directorist.com/theme/demo/direo/)
18:24:44	170822/170822	---MC-	200	added ('OK')	text/html	date:Fri,%2001%20Nov%202019%2017:24:41%20GMT	https://directorist.com/theme/demo/direo/home-map/	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/home-map/index.html	(from https://directorist.com/theme/demo/direo/)
18:24:45	65752/65752	---M--	200	added ('OK')	image/jpeg	etag:%22100d8-594f2fc3549ac%22	https://directorist.com/theme/demo/direo/wp-content/uploads/2019/10/p5-350x260.jpg	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/uploads/2019/10/p5-350x260.jpg	(from https://directorist.com/theme/demo/direo/)
18:24:45	57896/57896	---M--	200	added ('OK')	image/jpeg	etag:%22e228-594f2fc359f9c%22	https://directorist.com/theme/demo/direo/wp-content/uploads/2019/10/p6-350x260.jpg	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/uploads/2019/10/p6-350x260.jpg	(from https://directorist.com/theme/demo/direo/)
18:24:45	11494/11494	---M--	200	added ('OK')	image/png	etag:%222ce6-594f0f59f63cd%22	https://directorist.com/theme/demo/direo/wp-content/uploads/2019/10/cta.png	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/uploads/2019/10/cta.png	(from https://directorist.com/theme/demo/direo/)
18:24:45	70531/70531	---M--	200	added ('OK')	image/jpeg	etag:%2211383-594f0f6e8e762%22	https://directorist.com/theme/demo/direo/wp-content/uploads/2019/10/place1.jpg	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/uploads/2019/10/place1.jpg	(from https://directorist.com/theme/demo/direo/)
18:24:45	137397/137397	---MC-	200	added ('OK')	text/html	date:Fri,%2001%20Nov%202019%2017:24:42%20GMT	https://directorist.com/theme/demo/direo/home-video/	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/home-video/index.html	(from https://directorist.com/theme/demo/direo/)
18:24:45	81986/81986	---M--	200	added ('OK')	image/png	etag:%2214042-594f0f6f6d5cb%22	https://directorist.com/theme/demo/direo/wp-content/uploads/2019/10/place2.png	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/uploads/2019/10/place2.png	(from https://directorist.com/theme/demo/direo/)
18:24:46	88123/88123	---M--	200	added ('OK')	image/png	etag:%221583b-594f0f708f66d%22	https://directorist.com/theme/demo/direo/wp-content/uploads/2019/10/place3.png	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/uploads/2019/10/place3.png	(from https://directorist.com/theme/demo/direo/)
18:24:46	85542/85542	---M--	200	added ('OK')	image/png	etag:%2214e26-594f0f7274ff7%22	https://directorist.com/theme/demo/direo/wp-content/uploads/2019/10/place4.png	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/uploads/2019/10/place4.png	(from https://directorist.com/theme/demo/direo/)
18:24:46	4560/4560	---M--	200	added ('OK')	image/jpeg	etag:%2211d0-594f14d301763%22	https://directorist.com/theme/demo/direo/wp-content/uploads/2019/10/author-profile-100x100.jpg	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/uploads/2019/10/author-profile-100x100.jpg	(from https://directorist.com/theme/demo/direo/)
18:24:46	106515/106515	---MC-	200	added ('OK')	text/html	date:Fri,%2001%20Nov%202019%2017:24:43%20GMT	https://directorist.com/theme/demo/direo/listing-map-col-3/	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/listing-map-col-3/index.html	(from https://directorist.com/theme/demo/direo/)
18:24:47	1257/1257	---M--	200	added ('OK')	image/png	etag:%224e9-594f0f56d7689%22	https://directorist.com/theme/demo/direo/wp-content/uploads/2019/10/cl1.png	C:/Users/HP/Documents/sharingan/direo/directorist.com/theme/demo/direo/wp-content/uploads/2019/10/cl1.png	(from https://directorist.com/theme/demo/direo/)
